name,rating,address,hours_today,website,phone,latitude,longitude,link,is_relevant
Nita Laundry,"5,0","Jl. Sukabirus No.40-17, Citeureup, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40257",08.00–21.30,,0821-2519-5121,-6.9781294,107.6324619,https://www.google.com/maps/place/Nita+Laundry/data=!4m7!3m6!1s0x2e68e9000341f50f:0xac91a4bc3731cb92!8m2!3d-6.9781294!4d107.6324619!16s%2Fg%2F11lf7bftrn!19sChIJD_VBAwDpaC4RkssxN7ykkaw?authuser=0&hl=id&rclk=1,True
BC GBA SQUAD \ SFB SELATAN,"5,0","2J8M+7FF, Blk. H-I, Bojongsoang, Kec. Bojongsoang, Kabupaten Bandung, Jawa Barat 40288",Buka 24 jam,,0852-1730-4518,-6.984292,107.6335874,https://www.google.com/maps/place/BC+GBA+SQUAD+%5C+SFB+SELATAN/data=!4m7!3m6!1s0x2e68e99d7f34b621:0x2c5499f51675cdb7!8m2!3d-6.984292!4d107.6335874!16s%2Fg%2F11t9hq1k7v!19sChIJIbY0f53paC4Rt811FvWZVCw?authuser=0&hl=id&rclk=1,True
Travel Door To Door Kiw Trans,"5,0","Jalan Nusantara 1 No.92, Cipagalo, Kec. Bojongsoang, Kabupaten Bandung, Jawa Barat 40287",Buka 24 jam,,0812-2303-9907,-6.9675404,107.6527723,https://www.google.com/maps/place/Travel+Door+To+Door+Kiw+Trans/data=!4m7!3m6!1s0x2e68e973a3e0b273:0xe6f51c4da84b0705!8m2!3d-6.9675404!4d107.6527723!16s%2Fg%2F11sjh9r6pk!19sChIJc7Lgo3PpaC4RBQdLqE0c9eY?authuser=0&hl=id&rclk=1,True
Daytrans Buah Batu,"4,0","Jl. Terusan Buah Batu No.298, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",05.00–21.00,http://www.daytrans.co.id/,0815-8511-6767,-6.9638416,107.6380845,https://www.google.com/maps/place/Daytrans+Buah+Batu/data=!4m7!3m6!1s0x2e68e9cbdad38599:0xeb3a666409e5b60b!8m2!3d-6.9638416!4d107.6380845!16s%2Fg%2F11k9pmgfk_!19sChIJmYXT2svpaC4RC7blCWRmOus?authuser=0&hl=id&rclk=1,True
BTM TRAVEL BUAH BATU,"5,0","Jl. Terusan Buah Batu No.293, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",,http://www.btmshuttle.id/,0819-9809-2000,-6.9637946,107.638312,https://www.google.com/maps/place/BTM+TRAVEL+BUAH+BATU/data=!4m7!3m6!1s0x2e68e84c661d319b:0x7875ec1eb7243d3c!8m2!3d-6.9637946!4d107.638312!16s%2Fg%2F11s5ltmfh1!19sChIJmzEdZkzoaC4RPD0ktx7sdXg?authuser=0&hl=id&rclk=1,True
Pasteur Trans Buah Batu,"4,2","Jl. Terusan Buah Batu samping ayam kalasan No.231, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",05.00–21.00,http://www.pasteurtrans.id/,0821-2009-8889,-6.9607203,107.6392042,https://www.google.com/maps/place/Pasteur+Trans+Buah+Batu/data=!4m7!3m6!1s0x2e68e9006cbd90e9:0x5c741fb7e0534ff6!8m2!3d-6.9607203!4d107.6392042!16s%2Fg%2F11vpnfr28b!19sChIJ6ZC9bADpaC4R9k9T4LcfdFw?authuser=0&hl=id&rclk=1,True
Bus Mewah AMTrans Luxurious,"1,0","Jl. Sukabirus No.3, Citeureup, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40257",08.00–21.00,http://www.amtransluxurious.com/,(022) 21226999,-6.9840647,107.6289891,https://www.google.com/maps/place/Bus+Mewah+AMTrans+Luxurious/data=!4m7!3m6!1s0x2e68e87c4d2cb853:0x4169f2c6b2bdbad7!8m2!3d-6.9840647!4d107.6289891!16s%2Fg%2F1yj4k3df3!19sChIJU7gsTXzoaC4R17q9ssbyaUE?authuser=0&hl=id&rclk=1,True
SOBAT TRANS Shuttle Buah Batu,"5,0","Jl. Terusan Buah Batu No.179, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",04.30–21.00,http://www.ztrans.id/,0819-1596-6598,-6.9580178,107.6396845,https://www.google.com/maps/place/SOBAT+TRANS+Shuttle+Buah+Batu/data=!4m7!3m6!1s0x2e68e9c3f4290e7d:0xf628d6476a3f0c91!8m2!3d-6.9580178!4d107.6396845!16s%2Fg%2F11y3n3cy1q!19sChIJfQ4p9MPpaC4RkQw_akfWKPY?authuser=0&hl=id&rclk=1,True
SAHABAT SHUTTLE BUAH BATU,"4,9","Jl. Terusan Buah Batu No.300, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",,http://www.sahabatbis.co.id/,0811-2448-905,-6.9641192,107.6381438,https://www.google.com/maps/place/SAHABAT+SHUTTLE+BUAH+BATU/data=!4m7!3m6!1s0x2e68e918a08d5e41:0x5661b02ae3517471!8m2!3d-6.9641192!4d107.6381438!16s%2Fg%2F11h1rc6_2p!19sChIJQV6NoBjpaC4RcXRR4yqwYVY?authuser=0&hl=id&rclk=1,True
MS Shuttle Buah Batu,"4,4","Jl. Terusan Buah Batu No.273KujangsariKec, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",,,0813-6212-8083,-6.9626978,107.6386413,https://www.google.com/maps/place/MS+Shuttle+Buah+Batu/data=!4m7!3m6!1s0x2e68e90017a9edeb:0x1535b35ca6896881!8m2!3d-6.9626978!4d107.6386413!16s%2Fg%2F11w24b9hy1!19sChIJ6-2pFwDpaC4RgWiJplyzNRU?authuser=0&hl=id&rclk=1,True
