name,rating,address,hours_today,website,phone,latitude,longitude,link,is_relevant
Baraya Travel Buah Batu,"4,2","Jl. Soekarno-Hatta No.482, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266",05.00–22.00,http://www.baraya-travel.com/,(022) 2533456,-6.9486263,107.6331385,https://www.google.com/maps/place/Baraya+Travel+Buah+Batu/data=!4m7!3m6!1s0x2e68e85d53b77a61:0x439bba141d396244!8m2!3d-6.9486263!4d107.6331385!16s%2Fg%2F11c1qycrbh!19sChIJYXq3U13oaC4RRGI5HRS6m0M?authuser=0&hl=id&rclk=1,True
Baraya Travel Surapati 1,"4,4","Jl. Surapati No.42, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122",05.00–21.00,http://www.baraya-travel.com/,(021) 7244999,-6.8991701,107.6271566,https://www.google.com/maps/place/Baraya+Travel+Surapati+1/data=!4m7!3m6!1s0x2e68e7b2552e7735:0x17781f9db788e4df!8m2!3d-6.8991701!4d107.6271566!16s%2Fg%2F11hd1tgdry!19sChIJNXcuVbLnaC4R3-SIt50feBc?authuser=0&hl=id&rclk=1,True
Baraya Surapati 2,"4,3","Jl. Surapati No.123, Sukaluyu, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40123",04.00–21.00,https://baraya-travel.com/,,-6.8992874,107.626793,https://www.google.com/maps/place/Baraya+Surapati+2/data=!4m7!3m6!1s0x2e68e79bfa1f7c13:0x6f6b8cf218b605ae!8m2!3d-6.8992874!4d107.626793!16s%2Fg%2F11h3df35hb!19sChIJE3wf-pvnaC4RrgW2GPKMa28?authuser=0&hl=id&rclk=1,True
Baraya Travel Pasteur 2,"4,4","Jl. Dr. Djundjunan No.155, Pamoyanan, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Buka 24 jam,https://wa.me/message/VR2BD5TPWM6DJ1,0821-1696-8067,-6.8926723,107.5832404,https://www.google.com/maps/place/Baraya+Travel+Pasteur+2/data=!4m7!3m6!1s0x2e68e666067e2329:0x2cf84895d2361c27!8m2!3d-6.8926723!4d107.5832404!16s%2Fg%2F11c0xrc8p8!19sChIJKSN-BmbmaC4RJxw20pVI-Cw?authuser=0&hl=id&rclk=1,True
Baraya Travel dan Paket Antapani,"4,3","Jl. Terusan Jakarta No.130, Antapani Kulon, Kec. Antapani, Kota Bandung, Jawa Barat 40291",08.00–20.00,https://baraya-travel.com/,0851-5090-9153,-6.913027,107.657748,https://www.google.com/maps/place/Baraya+Travel+dan+Paket+Antapani/data=!4m7!3m6!1s0x2e68e70c23aae977:0xef6124b3965fa727!8m2!3d-6.913027!4d107.657748!16s%2Fg%2F11y6khvblf!19sChIJd-mqIwznaC4RJ6dflrMkYe8?authuser=0&hl=id&rclk=1,True
Baraya Travel Soreang,"4,5","Jl. Raya Soreang - Banjaran No.323, Soreang, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40911",05.15–20.15,https://baraya-travel.com/contact,,-7.03052,107.531675,https://www.google.com/maps/place/Baraya+Travel+Soreang/data=!4m7!3m6!1s0x2e68ed8b98d4c363:0x8d5a633c33f9f303!8m2!3d-7.03052!4d107.531675!16s%2Fg%2F11sdxk8r73!19sChIJY8PUmIvtaC4RA_P5MzxjWo0?authuser=0&hl=id&rclk=1,True
Baraya Tour,"4,3","Gedung Lathifiyah, Jl. Cigadung Raya Timur No.137A, Cigadung, Cibeunying Kaler, Bandung City, West Java 40191",09.00–17.00,,0811-2208-780,-6.8835049,107.6327347,https://www.google.com/maps/place/Baraya+Tour/data=!4m7!3m6!1s0x2e68e7afb1d64db1:0x777f10ef267a0761!8m2!3d-6.8835049!4d107.6327347!16s%2Fg%2F11cjk23cd2!19sChIJsU3Wsa_naC4RYQd6Ju8Qf3c?authuser=0&hl=id&rclk=1,True
Sewa Bus Bandung - Baraya Tourist,"5,0","Jl. Komp. Griya Caraka No.G-24, Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293",09.00–18.00,http://www.baraya-travel.com/,0821-2010-0391,-6.9343139,107.6744116,https://www.google.com/maps/place/Sewa+Bus+Bandung+-+Baraya+Tourist/data=!4m7!3m6!1s0x2e68e81c1883c955:0xb8bb072a1f092912!8m2!3d-6.9343139!4d107.6744116!16s%2Fg%2F11g6wv6581!19sChIJVcmDGBzoaC4REikJHyoHu7g?authuser=0&hl=id&rclk=1,True
Pool BUS BARAYA PARIWISATA,"4,3","Jl. Cihampelas No.6-2, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171",08.00–21.00,,,-6.90666,107.6045762,https://www.google.com/maps/place/Pool+BUS+BARAYA+PARIWISATA/data=!4m7!3m6!1s0x2e68e7ef072705b1:0xc8340890ee3aeb63!8m2!3d-6.90666!4d107.6045762!16s%2Fg%2F11trn08pxq!19sChIJsQUnB-_naC4RY-s67pAINMg?authuser=0&hl=id&rclk=1,True
Mitra Baraya Trans Cililin,"5,0","Kp Jl. Sasak Bubur No.44, RT.04 rw10, Cihampelas, Kec. Cihampelas, Kabupaten Bandung Barat, Jawa Barat 40562",Buka 24 jam,https://www.facebook.com/profile.php?id=61571108990228&mibextid=ZbWKwL,0821-8288-4547,-6.9265991,107.4782568,https://www.google.com/maps/place/Mitra+Baraya+Trans+Cililin/data=!4m7!3m6!1s0x2e68f1006f8fa377:0x455310a5df589f54!8m2!3d-6.9265991!4d107.4782568!16s%2Fg%2F11ld2cp8v4!19sChIJd6OPbwDxaC4RVJ9Y36UQU0U?authuser=0&hl=id&rclk=1,True
