name,rating,address,hours_today,website,phone,latitude,longitude,link,is_relevant,from_,destination
Agen Bus Pahala Kencana,"4,1","Jl. AH. Nasution No.124, Cipadung Wetan, Kec. Panyileukan, Kota Bandung, Jawa Barat 40614",,,0821-4405-1288,-6.9348577,107.7189621,https://www.google.com/maps/place/Agen+Bus+Pahala+Kencana/data=!4m7!3m6!1s0x2e68c327d2c1de4d:0x3d045fe1f61258f6!8m2!3d-6.9348577!4d107.7189621!16s%2Fg%2F11c601bmzt!19sChIJTd7B0ifDaC4R9lgS9uFfBD0?authuser=0&hl=id&rclk=1,True,Bandung,"Jakarta, Bekasi, Bogor, Depok, Cirebon, Denpasar (Bali), Surabaya, Malang"
Agen Resmi Keramat Jati,"4,6","2QVH+5CH, Jalan, Jelegong, Rancaekek, Bandung Regency, West Java 40394",,,(022) 7782788,-6.9570576,107.7786205,https://www.google.com/maps/place/Agen+Resmi+Keramat+Jati/data=!4m7!3m6!1s0x2e68c48ed9b5d95b:0xd9e551113d58e1d3!8m2!3d-6.9570576!4d107.7786205!16s%2Fg%2F11b6jgs3nl!19sChIJW9m12Y7EaC4R0-FYPRFR5dk?authuser=0&hl=id&rclk=1,True,Bandung,
Agen buz Kramat Jati,"5,0","Jl. Raya Kamasan Banjaran No.220, Kamasan, Kec. Banjaran, Kabupaten Bandung, Jawa Barat 40377",,,,-7.0474622,107.582662,https://www.google.com/maps/place/Agen+buz+Kramat+Jati/data=!4m7!3m6!1s0x2e68eb28c3c4a09f:0x6529c9ed8ed02cd7!8m2!3d-7.0474622!4d107.582662!16s%2Fg%2F11fn0bcw88!19sChIJn6DEwyjraC4R1yzQju3JKWU?authuser=0&hl=id&rclk=1,True,Bandung,"Palembang, Metro, Terbanggi Besar, Negara"
Agen sinar jaya cicaheum bandung,"4,3","Terminal Bus Cicaheum, Jl. A. Yani, Cicaheum, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40282",05.00–19.00,,0838-7934-9094,-6.9023261,107.6571696,https://www.google.com/maps/place/Agen+sinar+jaya+cicaheum+bandung/data=!4m7!3m6!1s0x2e68e7d727a435a3:0x2a20888f09390ae7!8m2!3d-6.9023261!4d107.6571696!16s%2Fg%2F11l30wbl97!19sChIJozWkJ9fnaC4R5wo5CY-IICo?authuser=0&hl=id&rclk=1,True,Bandung,"Bogor, Bekasi, Jakarta, Yogyakarta, Surabaya, Banjarnegara, Temanggung, Banyuwangi, Surakarta, Purbalingga, Salatiga, Cepu, Blora, Kebumen, Sumenep, Banyumas, Sukoharjo, Pekalongan, Kuningan, Weleri, Mateseh, Karawang, Pemalang, Brebes, Purwodadi, Prambanan, Sleman, Banjar, Grobogan, Semarang, Metro, Sampang, Cilacap, Tegal, Magelang, Wonosobo, Klaten, Klampok, Boyolali"
Agen tiket Pahala kencana Holia,"5,0","Jl. Holis No.398, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212",,,,-6.9377418,107.5698407,https://www.google.com/maps/place/Agen+tiket+Pahala+kencana+Holia/data=!4m7!3m6!1s0x2e68ef0027157ac5:0x7f91300e3efa678a!8m2!3d-6.9377418!4d107.5698407!16s%2Fg%2F11wh3x1fyy!19sChIJxXoVJwDvaC4Rimf6Pg4wkX8?authuser=0&hl=id&rclk=1,True,Bandung,"Denpasar (Bali), Malang, Surabaya, Metro"
Alavia Tour,"5,0","Jalan PLN Jl. Babakan Dangdeur, Pasir Biru, Cibiru, Bandung City, West Java 40615",08.00–16.00,https://alaviatour.com/,0856-2495-7868,-6.9298452,107.7206041,https://www.google.com/maps/place/Alavia+Tour/data=!4m7!3m6!1s0x2e68c3d17529c02b:0x304836f1ee10f534!8m2!3d-6.9298452!4d107.7206041!16s%2Fg%2F11v0pqyc2h!19sChIJK8ApddHDaC4RNPUQ7vE2SDA?authuser=0&hl=id&rclk=1,True,Bandung,
Angkutan Bandung Ke Bandara Primajasa,"4,3","Jl. Soekarno-Hatta No.159, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40223",Buka 24 jam,,0821-1864-9978,-6.9402693,107.5820085,https://www.google.com/maps/place/Angkutan+Bandung+Ke+Bandara+Primajasa/data=!4m7!3m6!1s0x2e68e8ae1b17a083:0xae5581cf12aa3116!8m2!3d-6.9402693!4d107.5820085!16s%2Fg%2F11cn6h7_5z!19sChIJg6AXG67oaC4RFjGqEs-BVa4?authuser=0&hl=id&rclk=1,True,Bandung,
Aragon travel,"4,0","Jl. Terusan Buah Batu No.259A, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",05.00–20.00,http://www.aragontrans.com/,0811-1771-505,-6.9618957,107.6388528,https://www.google.com/maps/place/Aragon+travel/data=!4m7!3m6!1s0x2e68e9e6592275e3:0x2b0337a341d83a9e!8m2!3d-6.9618957!4d107.6388528!16s%2Fg%2F11qmn84kph!19sChIJ43UiWebpaC4RnjrYQaM3Ays?authuser=0&hl=id&rclk=1,True,Bandung,"Jakarta, Banjar, Bogor, Cilacap, Purwokerto, Semarang, Tasikmalaya"
Aragon Transport Pasteur,"4,5","Jl. Dr. Djundjunan No.121, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",05.00–20.00,http://www.aragontrans.com/,0811-1962-121,-6.8948274,107.5877161,https://www.google.com/maps/place/Shuttle+%26+Travel+%7C+Aragon+Transport+Pasteur/data=!4m7!3m6!1s0x2e68e7fe8ece6825:0x3f6c370b3b35ecd4!8m2!3d-6.8948274!4d107.5877161!16s%2Fg%2F11flbrtxq8!19sChIJJWjOjv7naC4R1Ow1Ows3bD8?authuser=0&hl=id&rclk=1,True,Bandung,"Bogor, Depok, Serpong"
Areon Trans (Pasteur - Bandung),"4,6","Pajajaran Kecamatan Cicendo Jl.Dr.Djundjunan No.125,pajajaran, kec.Cicendo,kota Bandung, Jawa Barat Lantai LGISL-05B, Kota Bandung, Jawa Barat 40173",05.00–21.00,https://www.areontrans.co.id/,0813-8888-0031,-6.8928143,107.5844026,https://www.google.com/maps/place/Areon+Trans+%28Pasteur+-+Bandung%29/data=!4m7!3m6!1s0x2e68e7ebfcfb880b:0x1662020b2b9fff81!8m2!3d-6.8928143!4d107.5844026!16s%2Fg%2F11f5krysck!19sChIJC4j7_OvnaC4Rgf-fKwsCYhY?authuser=0&hl=id&rclk=1,True,Bandung,"Jakarta, Bekasi"
