name,rating,address,hours_today,website,phone,latitude,longitude,link,is_relevant
PO.Gunung Harta (Kebon Kawung Bandung),"5,0","Jl. Kebon Kawung No.49, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171",08.00–15.00,https://ghtiket.solutions/online,0823-2146-3328,-6.9124288,107.5994491,https://www.google.com/maps/place/PO.Gunung+Harta+%28Kebon+Kawung+Bandung%29/data=!4m7!3m6!1s0x2e68e63e73d0316d:0x9db22fcce2dd454f!8m2!3d-6.9124288!4d107.5994491!16s%2Fg%2F11c7t288pl!19sChIJbTHQcz7maC4RT0Xd4swvsp0?authuser=0&hl=id&rclk=1,True
Gunung Harta Cicaheum,"5,0","Jl. A. Yani No.957, Pasirlayung, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40282",Buka 24 jam,,0821-2127-5719,-6.9023064,107.6569595,https://www.google.com/maps/place/Gunung+Harta+Cicaheum/data=!4m7!3m6!1s0x2e68e7dd6414ec11:0x1e0647e83260e623!8m2!3d-6.9023064!4d107.6569595!16s%2Fg%2F11rmt2_yc_!19sChIJEewUZN3naC4RI-ZgMuhHBh4?authuser=0&hl=id&rclk=1,True
Gunung Harta Bandung Bali,"4,8","Terminal Bus Cicaheum, Cicaheum, Kec. Kiaracondong, Kabupaten Bandung, Jawa Barat 40282",,,0812-2263-5001,-6.9029096,107.6560994,https://www.google.com/maps/place/Gunung+Harta+Bandung+Bali/data=!4m7!3m6!1s0x2e68e736b3bc63af:0x993e2df432b43ca!8m2!3d-6.9029096!4d107.6560994!16s%2Fg%2F11w9cmq9fx!19sChIJr2O8szbnaC4RykMrQ9_ikwk?authuser=0&hl=id&rclk=1,True
Po. Gunung Harta Solutions Cilenyi,"4,8","3Q64+WV7, Cileunyi Wetan, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat 40622",,,0821-1680-2233,-6.937702,107.7571856,https://www.google.com/maps/place/Po.+Gunung+Harta+Solutions+Cilenyi/data=!4m7!3m6!1s0x2e68c346121d1fd5:0xee114c8880f68af7!8m2!3d-6.937702!4d107.7571856!16s%2Fg%2F11pl3k_s87!19sChIJ1R8dEkbDaC4R94r2gIhMEe4?authuser=0&hl=id&rclk=1,True
Po. Gunung Harta Imanuel,"4,4","Jl. Peta No.96, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40234",08.00–19.00,,0812-2195-463,-6.9375539,107.5972126,https://www.google.com/maps/place/Po.+Gunung+Harta+Imanuel/data=!4m7!3m6!1s0x2e68e9852cab55b3:0x93f56fc8f38bb97f!8m2!3d-6.9375539!4d107.5972126!16s%2Fg%2F11ptwy46y2!19sChIJs1WrLIXpaC4Rf7mL88hv9ZM?authuser=0&hl=id&rclk=1,True
Po. Gunung Harta Cibiru,"4,5","3P89+724, Jl. Pendidikan, Cibiru Hilir, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat 40615",07.00–19.00,,0823-2012-8006,-6.9343505,107.7175835,https://www.google.com/maps/place/Po.+Gunung+Harta+Cibiru/data=!4m7!3m6!1s0x2e68c3eb73242329:0xda26b08a146a5ad6!8m2!3d-6.9343505!4d107.7175835!16s%2Fg%2F11pyxtd3fw!19sChIJKSMkc-vDaC4R1lpqFIqwJto?authuser=0&hl=id&rclk=1,True
"Pahala Kencana, TAM & Gunung Harta Caringin SPBU","4,1","Sebrang SPBU Caringin, Jl. Soekarno-Hatta No.187 B, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40233",,https://wa.me/6282126494763,0812-2269-7888,-6.9410245,107.5822975,"https://www.google.com/maps/place/Pahala+Kencana,+TAM+%26+Gunung+Harta+Caringin+SPBU/data=!4m7!3m6!1s0x2e68c3271dd44bab:0xebae8d7cc816c92c!8m2!3d-6.9410245!4d107.5822975!16s%2Fg%2F11fmbb1gp8!19sChIJq0vUHSfDaC4RLMkWyHyNrus?authuser=0&hl=id&rclk=1",True
Po. Gunung Harta Cibiru,"4,5","3P89+724, Jl. Pendidikan, Cibiru Hilir, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat 40615",07.00–19.00,,0823-2012-8006,-6.9343505,107.7175835,https://www.google.com/maps/place/Po.+Gunung+Harta+Cibiru/data=!4m7!3m6!1s0x2e68c3eb73242329:0xda26b08a146a5ad6!8m2!3d-6.9343505!4d107.7175835!16s%2Fg%2F11pyxtd3fw!19sChIJKSMkc-vDaC4R1lpqFIqwJto?authuser=0&hl=id&rclk=1,True
Po. Gunung Harta Imanuel,"4,4","Jl. Peta No.96, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40234",08.00–19.00,,0812-2195-463,-6.9375539,107.5972126,https://www.google.com/maps/place/Po.+Gunung+Harta+Imanuel/data=!4m7!3m6!1s0x2e68e9852cab55b3:0x93f56fc8f38bb97f!8m2!3d-6.9375539!4d107.5972126!16s%2Fg%2F11ptwy46y2!19sChIJs1WrLIXpaC4Rf7mL88hv9ZM?authuser=0&hl=id&rclk=1,True
"Pahala Kencana, TAM & Gunung Harta Caringin SPBU","4,1","Sebrang SPBU Caringin, Jl. Soekarno-Hatta No.187 B, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40233",,https://wa.me/6282126494763,0812-2269-7888,-6.9410245,107.5822975,"https://www.google.com/maps/place/Pahala+Kencana,+TAM+%26+Gunung+Harta+Caringin+SPBU/data=!4m7!3m6!1s0x2e68c3271dd44bab:0xebae8d7cc816c92c!8m2!3d-6.9410245!4d107.5822975!16s%2Fg%2F11fmbb1gp8!19sChIJq0vUHSfDaC4RLMkWyHyNrus?authuser=0&hl=id&rclk=1",True
