name,rating,address,hours_today,website,phone,latitude,longitude,link,is_relevant
Kantor Pusat & Terminal Bus Kramat Djati,"5,0","Jl. Ambon No.3, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",,,(022) 4200858,-6.9084145,107.6144036,https://www.google.com/maps/place/Kantor+Pusat+%26+Terminal+Bus+Kramat+Djati/data=!4m7!3m6!1s0x2e68e636142071ed:0xfc32eefc0fa39878!8m2!3d-6.9084145!4d107.6144036!16s%2Fg%2F1tg83s0m!19sChIJ7XEgFDbmaC4ReJijD_zuMvw?authuser=0&hl=id&rclk=1,True
Kramatdjati,"3,8","Jl. Leuwi Panjang No.15 A, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40235",,,(022) 70689316,-6.942764,107.596296,https://www.google.com/maps/place/Kramatdjati/data=!4m7!3m6!1s0x2e68e8bdbfc85745:0xaf98918b14927dde!8m2!3d-6.942764!4d107.596296!16s%2Fg%2F1pzw15tw1!19sChIJRVfIv73oaC4R3n2SFIuRmK8?authuser=0&hl=id&rclk=1,True
Kramat Djati,"4,0","3JP2+WHX, Jl. Kebon Kawung, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171",,,(022) 4203007,-6.9126298,107.6014759,https://www.google.com/maps/place/Kramat+Djati/data=!4m7!3m6!1s0x2e68e63e84db9723:0xdfb9753aa35546a1!8m2!3d-6.9126298!4d107.6014759!16s%2Fg%2F11b6bmknwb!19sChIJI5fbhD7maC4RoUZVozp1ud8?authuser=0&hl=id&rclk=1,True
Kramat Djati,"3,3","Jl. Garuda No.15, Garuda, Kec. Andir, Kota Bandung, Jawa Barat 40184",,,,-6.9161649,107.5771816,https://www.google.com/maps/place/Kramat+Djati/data=!4m7!3m6!1s0x2e68e609a9b15777:0x246f9566fdaa6365!8m2!3d-6.9161649!4d107.5771816!16s%2Fg%2F11c6018171!19sChIJd1exqQnmaC4RZWOq_WaVbyQ?authuser=0&hl=id&rclk=1,True
Bus Malam Kramat Djati,"5,0","Jl. Ir. H. Juanda No.105, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135",,,(022) 2502317,-6.8932572,107.6128146,https://www.google.com/maps/place/Bus+Malam+Kramat+Djati/data=!4m7!3m6!1s0x2e68e65120495e1b:0x30976c1f1d20e2c2!8m2!3d-6.8932572!4d107.6128146!16s%2Fg%2F1hm5cd9f7!19sChIJG15JIFHmaC4RwuIgHR9slzA?authuser=0&hl=id&rclk=1,True
Kantor Kramat Djati Bandung,"5,0","3HJF+2MM, Cibuntu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212",08.00–17.00,,0852-8007-2684,-6.9199386,107.5742117,https://www.google.com/maps/place/Kantor+Kramat+Djati+Bandung/data=!4m7!3m6!1s0x2e68e70040bb1d81:0x63c078d1811065a2!8m2!3d-6.9199386!4d107.5742117!16s%2Fg%2F11ld9s7rkz!19sChIJgR27QADnaC4RomUQgdF4wGM?authuser=0&hl=id&rclk=1,True
Kramatdjati,"4,0","Jl. Kiara Condong No.432, Kebun Jayanti, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40281",,,(022) 91138845,-6.9257501,107.6451803,https://www.google.com/maps/place/Kramatdjati/data=!4m7!3m6!1s0x2e68e7dfe1d36c89:0x4055945134f9cdf9!8m2!3d-6.9257501!4d107.6451803!16s%2Fg%2F1pzpxb1cn!19sChIJiWzT4d_naC4R-c35NFGUVUA?authuser=0&hl=id&rclk=1,True
Kramatdjati,"4,0","3M55+HWX, Jl. Soekarno-Hatta, Sekejati, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",,,(022) 6005269,-6.9410145,107.6598725,https://www.google.com/maps/place/Kramatdjati/data=!4m7!3m6!1s0x2e68e81a32edef67:0x8fe447981b11fdd0!8m2!3d-6.9410145!4d107.6598725!16s%2Fg%2F11bc7sfb6q!19sChIJZ-_tMhroaC4R0P0RG5hH5I8?authuser=0&hl=id&rclk=1,True
Kramat Jati,"5,0","Terminal Bus Cicaheum, Jl. A. Yani, Cicaheum, Kec. Kiaracondong, Kabupaten Bandung, Jawa Barat 40282",,,(022) 93089513,-6.9023048,107.6570705,https://www.google.com/maps/place/Kramat+Jati/data=!4m7!3m6!1s0x2e68e792740f0dab:0x5cce54ae892d91c5!8m2!3d-6.9023048!4d107.6570705!16s%2Fg%2F11b630k9p4!19sChIJqw0PdJLnaC4RxZEtia5Uzlw?authuser=0&hl=id&rclk=1,True
Kramatdjati,"4,6","3P8F+889, JL. Raya Bunderan, Cibiru, Cibiru Wetan, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat 40615",,,0813-2211-2235,-6.934202,107.723368,https://www.google.com/maps/place/Kramatdjati/data=!4m7!3m6!1s0x2e68c325f5f342af:0x31197e38b5f72efd!8m2!3d-6.934202!4d107.723368!16s%2Fg%2F1pzrpl2vh!19sChIJr0Lz9SXDaC4R_S73tTh-GTE?authuser=0&hl=id&rclk=1,True
