name,rating,address,hours_today,website,phone,latitude,longitude,link,is_relevant
Pahala Kencana,"4,0","3H3R+F4V, Jl. Soekarno-Hatta, Kb. Lega, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40235",,,0888-6215-696,-6.9462541,107.5903089,https://www.google.com/maps/place/Pahala+Kencana/data=!4m7!3m6!1s0x2e68e8b917a2f2d1:0x21160cddbb978ba2!8m2!3d-6.9462541!4d107.5903089!16s%2Fg%2F1hm61hddc!19sChIJ0fKiF7noaC4RoouXu90MFiE?authuser=0&hl=id&rclk=1,True
Pecinta Pahala Kencana Bandung,"3,7","Jl. Peta No.68, Pelindung Hewan, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40233",,http://pahalakencana.co.id/,(022) 7231432,-6.9373077,107.598979,https://www.google.com/maps/place/Pecinta+Pahala+Kencana+Bandung/data=!4m7!3m6!1s0x2e68e762e87fb0cb:0x7d046abc2ec9ad34!8m2!3d-6.9373077!4d107.598979!16s%2Fg%2F11g2xcpxp0!19sChIJy7B_6GLnaC4RNK3JLrxqBH0?authuser=0&hl=id&rclk=1,True
PT. Pahala Kencana Terminal Cicaheum,"4,1","Jl. Pahala Kencana No.212, Pasirlayung, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40192",,http://pahalakencana.co.id/,0823-1589-2012,-6.9023164,107.6570532,https://www.google.com/maps/place/PT.+Pahala+Kencana+Terminal+Cicaheum/data=!4m7!3m6!1s0x2e68e7927410ec0d:0xfd55e147f9ab74b1!8m2!3d-6.9023164!4d107.6570532!16s%2Fg%2F11b62v0zl3!19sChIJDewQdJLnaC4RsXSr-UfhVf0?authuser=0&hl=id&rclk=1,True
Pahala Kencana CARINGIN 186,"4,0","Sebrang ruko taman surya Jl. Soekarno-Hatta No.186, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40222",08.00–16.00,https://bit.ly/3COkGqv,0813-2107-8823,-6.9388541,107.5802651,https://www.google.com/maps/place/Pahala+Kencana+CARINGIN+186/data=!4m7!3m6!1s0x2e68e8ae09bcac3f:0x8d47c8075803aa17!8m2!3d-6.9388541!4d107.5802651!16s%2Fg%2F11bbyg8ssr!19sChIJP6y8Ca7oaC4RF6oDWAfIR40?authuser=0&hl=id&rclk=1,True
"Pahala Kencana, TAM & Gunung Harta Caringin SPBU","4,1","Sebrang SPBU Caringin, Jl. Soekarno-Hatta No.187 B, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40233",,https://wa.me/6282126494763,0812-2269-7888,-6.9410245,107.5822975,"https://www.google.com/maps/place/Pahala+Kencana,+TAM+%26+Gunung+Harta+Caringin+SPBU/data=!4m7!3m6!1s0x2e68c3271dd44bab:0xebae8d7cc816c92c!8m2!3d-6.9410245!4d107.5822975!16s%2Fg%2F11fmbb1gp8!19sChIJq0vUHSfDaC4RLMkWyHyNrus?authuser=0&hl=id&rclk=1",True
Pahala Kencana. PT - Penjualan (Kebon Jati),"4,0","JL. Kebon Jati No. 90, Bandung - West Java, Kebon Gedang, Batununggal, Bandung City, West Java 40274",,,(022) 7835656,-6.928759,107.642875,https://www.google.com/maps/place/Pahala+Kencana.+PT+-+Penjualan+%28Kebon+Jati%29/data=!4m7!3m6!1s0x2e68e63d0378ff1d:0xf154e3da2a9ac803!8m2!3d-6.928759!4d107.642875!16s%2Fg%2F1tgm08hm!19sChIJHf94Az3maC4RA8iaKtrjVPE?authuser=0&hl=id&rclk=1,True
Agen Bus Pahala Kencana,"4,1","Jl. AH. Nasution No.124, Cipadung Wetan, Kec. Panyileukan, Kota Bandung, Jawa Barat 40614",,,0821-4405-1288,-6.9348577,107.7189621,https://www.google.com/maps/place/Agen+Bus+Pahala+Kencana/data=!4m7!3m6!1s0x2e68c327d2c1de4d:0x3d045fe1f61258f6!8m2!3d-6.9348577!4d107.7189621!16s%2Fg%2F11c601bmzt!19sChIJTd7B0ifDaC4R9lgS9uFfBD0?authuser=0&hl=id&rclk=1,True
Pahala kencana office,"4,1","Jl. Peta No.68, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40231",,https://pahalakencana.co.id/,0852-2216-1826,-6.9373077,107.598979,https://www.google.com/maps/place/Pahala+kencana+office/data=!4m7!3m6!1s0x2e68e90a158294f9:0x91bd0f9f4bcf6745!8m2!3d-6.9373077!4d107.598979!16s%2Fg%2F11lvvh5sdr!19sChIJ-ZSCFQrpaC4RRWfPS58PvZE?authuser=0&hl=id&rclk=1,True
LOKET UTAMA EPA STAR BANDUNG,"3,6","Jl. Batununggal Indah Raya No.23A, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266",,,0812-2255-6009,-6.9529582,107.6235076,https://www.google.com/maps/place/LOKET+UTAMA+EPA+STAR+BANDUNG/data=!4m7!3m6!1s0x2e68e961860f08fb:0x506303035e6c57f4!8m2!3d-6.9529582!4d107.6235076!16s%2Fg%2F11sbmxx4t3!19sChIJ-wgPhmHpaC4R9FdsXgMDY1A?authuser=0&hl=id&rclk=1,True
Agen tiket Pahala kencana Holia,"5,0","Jl. Holis No.398, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212",,,,-6.9377418,107.5698407,https://www.google.com/maps/place/Agen+tiket+Pahala+kencana+Holia/data=!4m7!3m6!1s0x2e68ef0027157ac5:0x7f91300e3efa678a!8m2!3d-6.9377418!4d107.5698407!16s%2Fg%2F11wh3x1fyy!19sChIJxXoVJwDvaC4Rimf6Pg4wkX8?authuser=0&hl=id&rclk=1,True
PT PAHALA KENCANA AGEN SOREANG,"5,0","XG9H+X99, Soreang, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40911",,,,-7.030087,107.5284985,https://www.google.com/maps/place/PT+PAHALA+KENCANA+AGEN+SOREANG/data=!4m7!3m6!1s0x2e68ec349656ab77:0x7547b739d8f93b5!8m2!3d-7.030087!4d107.5284985!16s%2Fg%2F11csrs4fk_!19sChIJd6tWljTsaC4RtZOPnXN7VAc?authuser=0&hl=id&rclk=1,True
Pahala Kencana Paramon,"5,0","Jl. Raya Bandung - Garut Jl. Rancaekek No.km.24 5, Sindangpakuon, Kec. Cimanggung, Kabupaten Sumedang, Jawa Barat 45364",,http://pahalakencana.co.id/,0882-0018-01954,-6.9664965,107.8220701,https://www.google.com/maps/place/Pahala+Kencana+Paramon/data=!4m7!3m6!1s0x2e68c5a8ca915d0b:0xab9260ba8a4666b2!8m2!3d-6.9664965!4d107.8220701!16s%2Fg%2F11c20sptx5!19sChIJC12RyqjFaC4RsmZGirpgkqs?authuser=0&hl=id&rclk=1,True
LOKET UTAMA EPA STAR BANDUNG,"3,6","Jl. Batununggal Indah Raya No.23A, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266",,,0812-2255-6009,-6.9529582,107.6235076,https://www.google.com/maps/place/LOKET+UTAMA+EPA+STAR+BANDUNG/data=!4m7!3m6!1s0x2e68e961860f08fb:0x506303035e6c57f4!8m2!3d-6.9529582!4d107.6235076!16s%2Fg%2F11sbmxx4t3!19sChIJ-wgPhmHpaC4R9FdsXgMDY1A?authuser=0&hl=id&rclk=1,True
