name,rating,address,hours_today,website,phone,latitude,longitude,link,is_relevant
RedWhite Star Primajasa Bandung,"4,7","Jl. Diponegoro No.32, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",Buka 24 jam,,0812-2108-5084,-6.9014961,107.6222412,https://www.google.com/maps/place/RedWhite+Star+Primajasa+Bandung/data=!4m7!3m6!1s0x2e68e7254e1db7c1:0x7cc209743f3d38d2!8m2!3d-6.9014961!4d107.6222412!16s%2Fg%2F11nmlgmx3v!19sChIJwbcdTiXnaC4R0jg9P3QJwnw?authuser=0&hl=id&rclk=1,True
Angkutan Bandung Ke Bandara Primajasa,"4,3","Jl. Soekarno-Hatta No.159, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40223",Buka 24 jam,,0821-1864-9978,-6.9402693,107.5820085,https://www.google.com/maps/place/Angkutan+Bandung+Ke+Bandara+Primajasa/data=!4m7!3m6!1s0x2e68e8ae1b17a083:0xae5581cf12aa3116!8m2!3d-6.9402693!4d107.5820085!16s%2Fg%2F11cn6h7_5z!19sChIJg6AXG67oaC4RFjGqEs-BVa4?authuser=0&hl=id&rclk=1,True
Bus primajasa,"5,0","3H9C+VQP, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat",,,,-6.9302961,107.5719663,https://www.google.com/maps/place/Bus+primajasa/data=!4m7!3m6!1s0x2e68ef289679ad59:0x319da77cc427dedc!8m2!3d-6.9302961!4d107.5719663!16s%2Fg%2F11sv72213k!19sChIJWa15lijvaC4R3N4nxHynnTE?authuser=0&hl=id&rclk=1,True
Counter Shuttle Primajasa Shuttle,"3,6","Jl. Dr. Djundjunan No.47, Pamoyanan, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",,,0821-2345-4514,-6.8975331,107.5921957,https://www.google.com/maps/place/Counter+Shuttle+Primajasa+Shuttle/data=!4m7!3m6!1s0x2e68e7990a4da965:0xab1ddc6f8c9b024!8m2!3d-6.8975331!4d107.5921957!16s%2Fg%2F11fwc1dvht!19sChIJZalNCpnnaC4RJLDJ-MbdsQo?authuser=0&hl=id&rclk=1,True
POS Kontrol bus Primajasa,"3,7","Jl. Raya Rancaekek - Garut No.29, Tenjolaya, Kec. Cicalengka, Kabupaten Bandung, Jawa Barat 40395",,,,-6.9741305,107.8380404,https://www.google.com/maps/place/POS+Kontrol+bus+Primajasa/data=!4m7!3m6!1s0x2e68c53837596c95:0xa8f489ab04ba46a1!8m2!3d-6.9741305!4d107.8380404!16s%2Fg%2F11q8w0tlw1!19sChIJlWxZNzjFaC4RoUa6BKuJ9Kg?authuser=0&hl=id&rclk=1,True
Check Point Primajasa,"3,7","Jl. Raya Bandung - Garut No.28, Panenjoan, Kec. Cicalengka, Kabupaten Bandung, Jawa Barat 40395",,,,-6.9688665,107.8337397,https://www.google.com/maps/place/Check+Point+Primajasa/data=!4m7!3m6!1s0x2e68c5a28ed3915d:0xd62b112625cc9b33!8m2!3d-6.9688665!4d107.8337397!16s%2Fg%2F11h0vtlsy4!19sChIJXZHTjqLFaC4RM5vMJSYRK9Y?authuser=0&hl=id&rclk=1,True
Bus primajasa,"5,0","3H9C+VQP, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat",,,,-6.9302961,107.5719663,https://www.google.com/maps/place/Bus+primajasa/data=!4m7!3m6!1s0x2e68ef289679ad59:0x319da77cc427dedc!8m2!3d-6.9302961!4d107.5719663!16s%2Fg%2F11sv72213k!19sChIJWa15lijvaC4R3N4nxHynnTE?authuser=0&hl=id&rclk=1,True
Counter Shuttle Primajasa Shuttle,"3,6","Jl. Dr. Djundjunan No.47, Pamoyanan, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",,,0821-2345-4514,-6.8975331,107.5921957,https://www.google.com/maps/place/Counter+Shuttle+Primajasa+Shuttle/data=!4m7!3m6!1s0x2e68e7990a4da965:0xab1ddc6f8c9b024!8m2!3d-6.8975331!4d107.5921957!16s%2Fg%2F11fwc1dvht!19sChIJZalNCpnnaC4RJLDJ-MbdsQo?authuser=0&hl=id&rclk=1,True
Check Point Primajasa,"3,7","Jl. Raya Bandung - Garut No.28, Panenjoan, Kec. Cicalengka, Kabupaten Bandung, Jawa Barat 40395",,,,-6.9688665,107.8337397,https://www.google.com/maps/place/Check+Point+Primajasa/data=!4m7!3m6!1s0x2e68c5a28ed3915d:0xd62b112625cc9b33!8m2!3d-6.9688665!4d107.8337397!16s%2Fg%2F11h0vtlsy4!19sChIJXZHTjqLFaC4RM5vMJSYRK9Y?authuser=0&hl=id&rclk=1,True
Shelter Primajasa,"4,6","No Jl. Raya Bandung - Garut No.4, Ciherang, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40215",,,,-7.0489146,107.9005295,https://www.google.com/maps/place/Shelter+Primajasa/data=!4m7!3m6!1s0x2e68c8518a94e1a5:0x5421ee6f032bef80!8m2!3d-7.0489146!4d107.9005295!16s%2Fg%2F11bxfsyk41!19sChIJpeGUilHIaC4RgO8rA2_uIVQ?authuser=0&hl=id&rclk=1,True
