name,rating,address,hours_today,website,phone,latitude,longitude,link,is_relevant
Raja Tour Bandung,"4,8","Jl. Ranggamalela No.11, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116",09.00–15.30,https://rajatourbandung.com/,0812-2263-5535,-6.9015109,107.6107201,https://www.google.com/maps/place/Raja+Tour+Bandung/data=!4m7!3m6!1s0x2e68e7c268076b63:0x7faa372e4ebb3a26!8m2!3d-6.9015109!4d107.6107201!16s%2Fg%2F11b7fs8y4c!19sChIJY2sHaMLnaC4RJjq7Ti43qn8?authuser=0&hl=id&rclk=1,True
Jackal Holiday Luxury Shuttle,"3,8","Jl. DR. Djunjunan Dalam No.87, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",,http://shuttle.jackalholidays.com/,(021) 50600678,-6.8962801,107.5899605,https://www.google.com/maps/place/Jackal+Holiday+Luxury+Shuttle/data=!4m7!3m6!1s0x2e68e7ce96af5e87:0x8d1f816830d714cc!8m2!3d-6.8962801!4d107.5899605!16s%2Fg%2F11gbqp06qt!19sChIJh16vls7naC4RzBTXMGiBH40?authuser=0&hl=id&rclk=1,True
Nata Tours,"4,0","Jl. Karapitan No.108, Cikawao, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",08.30–21.00,,(022) 4212345,-6.9301138,107.6159246,https://www.google.com/maps/place/Nata+Tours/data=!4m7!3m6!1s0x2e68e8818134ca49:0xd1e62fed13b1ce91!8m2!3d-6.9301138!4d107.6159246!16s%2Fg%2F1pzwbfp5q!19sChIJSco0gYHoaC4Rkc6xE-0v5tE?authuser=0&hl=id&rclk=1,True
Safari Suci,"4,7","Jl. Taman Citarum No.11, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",08.30–16.30,http://www.safarisuci.co.id/,(022) 4205133,-6.9046587,107.6209482,https://www.google.com/maps/place/Safari+Suci/data=!4m7!3m6!1s0x2e68e64ad6a6b279:0xd375cd9296c671df!8m2!3d-6.9046587!4d107.6209482!16s%2Fg%2F1tsvw98c!19sChIJebKm1krmaC4R33HGlpLNddM?authuser=0&hl=id&rclk=1,True
Arnes Shuttle Bandung,"3,5","Baltos, Balubur Town Square, Jl. Tamansari No.2, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116",05.30–21.00,http://arnes.id/,0813-1355-5008,-6.8984612,107.6087059,https://www.google.com/maps/place/Arnes+Shuttle+Bandung/data=!4m7!3m6!1s0x2e68e6456595e087:0xea20344b475291ab!8m2!3d-6.8984612!4d107.6087059!16s%2Fg%2F11bc7mp8xn!19sChIJh-CVZUXmaC4Rq5FSR0s0IOo?authuser=0&hl=id&rclk=1,True
DayTrans Travel Dipatiukur,"4,5","Jl. Dipati Ukur No.107, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",05.00–21.30,http://daytrans.co.id/,0815-1102-6767,-6.8856591,107.6142975,https://www.google.com/maps/place/DayTrans+Travel+Dipatiukur/data=!4m7!3m6!1s0x2e68e6567515eaf3:0xdc9dec1f44b77398!8m2!3d-6.8856591!4d107.6142975!16s%2Fg%2F11b6df9w__!19sChIJ8-oVdVbmaC4RmHO3RB_sndw?authuser=0&hl=id&rclk=1,True
Frestour & Travel,"5,0","Komplek GBA 1, Blk. I No.46, Bojongsoang, Bandung Regency, West Java 40288",,https://frestour.com/,0812-2334-4117,-6.985795,107.634972,https://www.google.com/maps/place/Frestour+%26+Travel/data=!4m7!3m6!1s0x2e68e863900d2af9:0xd2c6009d165811dc!8m2!3d-6.985795!4d107.634972!16s%2Fg%2F11g_402xt!19sChIJ-SoNkGPoaC4R3BFYFp0AxtI?authuser=0&hl=id&rclk=1,True
Areon Trans (Pasteur - Bandung),"4,6","Pajajaran Kecamatan Cicendo Jl.Dr.Djundjunan No.125,pajajaran, kec.Cicendo,kota Bandung, Jawa Barat Lantai LGISL-05B, Kota Bandung, Jawa Barat 40173",05.00–21.00,https://www.areontrans.co.id/,0813-8888-0031,-6.8928143,107.5844026,https://www.google.com/maps/place/Areon+Trans+%28Pasteur+-+Bandung%29/data=!4m7!3m6!1s0x2e68e7ebfcfb880b:0x1662020b2b9fff81!8m2!3d-6.8928143!4d107.5844026!16s%2Fg%2F11f5krysck!19sChIJC4j7_OvnaC4Rgf-fKwsCYhY?authuser=0&hl=id&rclk=1,True
Maqdis Travel Bandung,"4,8","Metro Indah Mall Blok D No. 20, Jl. Soekarno-Hatta No.590, Sekejati, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",08.00–16.00,https://maqdistravel.com/,(022) 7536272,-6.941497,107.658126,https://www.google.com/maps/place/Maqdis+Travel+Bandung/data=!4m7!3m6!1s0x2e68e81a18de840b:0x506ebf119c8a118!8m2!3d-6.941497!4d107.658126!16s%2Fg%2F1pzv3kjlt!19sChIJC4TeGBroaC4RGKHIGfHrBgU?authuser=0&hl=id&rclk=1,True
Travel Door To Door Bandung Jakarta,"5,0","Jalan Maleer IV No.37 Maleer Bandung, Maleer, Kec. Batununggal, Jawa Barat, 40274",00.00–23.30,,0812-2406-3099,-6.927053,107.639446,https://www.google.com/maps/place/Travel+Door+To+Door+Bandung+Jakarta/data=!4m7!3m6!1s0x2e68e7df557a3fd5:0xdb2b03f7ab01338f!8m2!3d-6.927053!4d107.639446!16s%2Fg%2F11cmz_4k4r!19sChIJ1T96Vd_naC4RjzMBq_cDK9s?authuser=0&hl=id&rclk=1,True
